
results_responses,results_rt,results_targetvalue
5,6,7,5,6,6,5,5,7,6,7,5,8,7,8,7,7,8,5,7,5,5,6,5,8,6,7,6,7,8,8,5,7,7,7,5,6,7,6,6,8,5,7,5,9,9,8,7,7,6,5,5,5,6,7,6,8,7,6,6,8,7,6,7,6,7,8,5,6,5,5,6,6,4,10,8,9,7,5,6,6,7,7,7,6,6,6,7,6,6,7,7,6,5,6,6,6,7,6,7
1988,4491,1834,1690,1629,2486,1756,1726,3106,3347,4137,2313,3128,2179,3105,2188,2003,4166,4050,2777,1387,2338,1563,2343,3514,1666,2288,1385,3189,1677,1187,1419,3113,2055,1782,1974,2394,1440,2739,1528,1422,1481,3142,1667,1230,1102,987,2397,1990,1998,1709,1958,1419,1897,2260,1496,3373,1165,1298,1902,1546,2340,2146,2057,2015,1990,1343,1872,2180,1631,2137,1641,2342,1849,1128,1711,1666,1827,1333,2953,2298,1719,16973,3091,2289,4755,2114,2289,2401,4184,1688,1284,1401,2449,1389,1781,1359,3801,2281,1935
8,9,5,6,7,7,8,5,9,6,9,5,8,6,7,8,7,9,5,6,6,5,8,7,9,7,8,5,6,9,7,5,9,6,8,6,8,9,7,5,6,5,8,7,9,6,9,8,7,5,5,7,6,9,8,6,9,8,7,5,5,9,6,7,8,9,8,6,7,5,6,5,7,8,9,8,7,9,5,6,8,6,5,9,7,6,5,9,8,7,8,6,9,5,7,6,8,9,5,7
